vi,cn
"Bốc thệ giai chỉ,",蔔筮偕止，
"Hội ngôn cận chỉ,",會言近止，
Chinh phi nhĩ chỉ.,征夫邇止。
"Đế đống tại đông,",蝃蝀在東，
Mạc chi cảm chỉ.,莫之敢指。
"Nữ tử hữu hành,",女子有行，
Viễn phụ mẫu huynh đệ.,遠父母兄弟。
"Triêu tê vu tây,",朝隮于西，
Sùng triêu kỳ vũ.,崇朝其雨。
"Nữ tử hữu hành,",女子有行，
Viễn huynh đệ phụ mỗ.,遠兄弟父母。
"Nãi như chi nhân dã,",乃如之人也，
Hoài hôn nhân dã.,懷婚姻也。
Đại vô tân dã.,大無信也，
Bất tri mịnh dã.,不知命也。
"Đính chi phương trung,",定之方中，
Tác vu Sở cung.,作于楚宮。
"Quỹ chi dĩ nhật,",揆之以日，
Tác vu sở thất.,作于楚室。
"Thụ chi trăn lật,",樹之榛栗，
"Y đồng tử tất,",椅桐梓漆，
Viên phạt cầm sắt.,爰伐琴瑟。
"Thăng bỉ khử hĩ,",升彼虛矣，
Dĩ vọng Sở hĩ.,以望楚矣。
"Vọng Sở dữ Đường,",望楚與堂，
"Ảnh sơn dữ cương,",景山與京。
Giáng quan vu tang.,降觀于桑，
Bốc vân kỳ cát.,卜云其吉，
Chung yên doãn tang.,終然允臧。
"Linh vũ ký linh,",靈雨既零，
Mệnh bỉ quan nhân.,命彼倌人。
"Tinh ngôn túc giá,",星言夙駕，
Thuế vu tang đần.,說于桑田。
"Phỉ trực dã nhân,",匪直也人，
"Bỉnh tâm tắc uân,",秉心塞淵，
Lai tẫn tam thân.,騋牝三千。
"Đồng cung siêu hề,",彤弓弨兮，
Thụ ngôn tàng chi.,受言藏之。
"Ngã hữu gia tân,",我有嘉賓，
Trung tâm huống chi.,中心貺之。
"Chung cổ ký thiết,",鍾鼓既設，
Nhất triêu hưởng chi.,一朝饗之。
"Đồng cung siêu hề,",彤弓弨兮，
Thụ ngôn tái chi.,受言載之。
"Ngã hữu gia tân,",我有嘉賓，
Trung tâm hỉ chi.,中心喜之。
"Chung cổ ký thiết,",鍾鼓既設，
Nhất triêu hựu chi.,一朝右之。
"Đồng cung siêu hề,",彤弓弨兮，
Thụ ngôn cao chi.,受言櫜之。
"Ngã hữu gia tân,",我有嘉賓，
Trung tâm háo chi.,中心好之。
"Chung cổ ký thiết,",鍾鼓既設，
Nhất triêu thù chi.,一朝酬之。
"Đông môn chi dương,",東門之楊，
Kỳ diệp tương tương.,其葉牂牂。
"Hôn dĩ vi kỳ,",昏以為期，
Minh tinh hoàng hoàng.,明星煌煌。
"Đông môn chi dương,",東門之楊，
Kỳ diệp phế phế.,其葉肺肺，
"Hôn dĩ vi kỳ,",昏以為期，
Minh tinh chế chế.,明星晢晢。
Đông môn chi văn.,東門之枌，
Uyển khâu chi hử.,宛丘之栩。
"Tử Trọng chi tử,",子仲之子，
Bà thoa kỳ hụ.,婆娑其下。
"Cốc đán vu tha,",穀旦于差，
"Nam phương chi nguyên,",南方之原。
"Bất tích kỳ ma,",不績其麻，
Thị dã bà thoa.,市也婆娑。
"Cốc đán vu thệ,",穀旦于逝，
Việt dĩ tông lệ.,越以鬷邁。
"Thị nhĩ như kiều,",視爾如荍，
Di ngã ác tiêu.,貽我握椒。
"Đông môn chi thiện,",東門之墠，
Như lư tại phiến.,茹藘在阪。
"Kỳ thất tắc nhĩ,",其室則邇，
Kỳ nhân thậm viễn.,其人甚遠。
"Đông môn chi lật,",東門之栗，
Hữu tiễn gia thất,有踐家室。
Khỉ bất nhĩ tư?,豈不爾思？
Tử bất ngã tức.,子不我即。
"Đông môn chi trì,",東門之池，
Khả dĩ âu ma.,可以漚麻。
"Bỉ mỹ thục cơ,",彼美淑姬，
Khả dữ ngộ ca.,可與晤歌。
"Đông môn chi trì,",東門之池，
Khả dĩ âu trữ.,可以漚紵。
"Bỉ mỹ thục cơ,",彼美淑姬，
Khả dữ ngộ ngữ.,可與晤語。
"Đông môn chi trì,",東門之池，
Khả dĩ âu kiên.,可以漚菅。
"Bỉ mỹ thục cơ,",彼美淑姬，
Khả dữ ngộ nghiên.,可與晤言。
"Đông phương chi nhật hề,",東方之日兮，
"Bỉ xu giả tử,",彼姝者子，
Tại ngã thất hề.,在我室兮。
"Tại ngã thất hề,",在我室兮，
Lý ngã tức hề.,履我即兮。
"Đông phương chi nguyệt hề,",東方之月兮，
"Bỉ xu giả tử,",彼姝者子，
Tại ngã thuyết hề.,在我闥兮。
"Tại ngã thuyết hề,",在我闥兮，
Lý ngã phiết hề.,履我發兮。
"Đông phương vị mang,",東方未明，
Điên đảo y thường.,顛倒衣裳。
"Điên chi điểu chi,",顛之倒之，
Tự công triệu chi.,自公召之。
"Đông phương vị hy,",東方未曦，
Điên đảo thường y.,顛倒裳衣。
"Đảo chi đân chi,",倒之顛之，
Tự công lịnh chi.,自公令之。
"Chiết liễu phan bố,",折柳樊圃，
Cuồng phu cú cú.,狂夫瞿瞿。
"Bất năng thời dử,",不能辰夜，
Bất túc tắc mộ.,不夙則莫。
"Ngã tồ Đông Sơn,",我徂東山、
Thao thao bất quy.,慆慆不歸。
"Ngã lai tự đông,",我來自東、
Linh vũ kỳ mông.,零雨其濛。
"Ngã đông viết quy,",我東曰歸、
Ngã tâm tây bi.,我心西悲。
"Chế bỉ thường y,",制彼裳衣、
Vật sĩ hàng my.,勿士行枚。
"Quyên quyên giả thục,",蜎蜎者蠋、
Chưng tại tang dã.,烝在桑野。
"Đôi bỉ độc túc,",敦彼獨宿、
Diệc tại xa hạ.,亦在車下。
"Ngã tồ Đông Sơn,",我徂東山、
Thao thao bất quy.,慆慆不歸。
"Ngã lai tự đông,",我來自東、
Linh vũ kỳ mông.,零雨其濛。
"Quả loã chi thực,",果臝之實、
Diệc dị vu vũ.,亦施于宇。
"Y uy tại thất,",伊威在室、
Tiêu tiêu tại hộ.,蠨蛸在戶。
"Đình thoản lộc trường,",町曈鹿場、
Dực diệu tiêu hàng.,熠燿宵行。
"Bất khả uý dã,",不可畏也、
Y khả hoài dã.,伊可懷也。
"Ngã tồ Đông Sơn,",我徂東山、
Thao thao bất quy.,慆慆不歸。
"Ngã lai tự đông,",我來自東、
Linh vũ kỳ mông.,零雨其濛。
"Quán minh vu dật,",鸛鳴于垤、
Phụ thán vu thất.,婦歎于室。
"Sái tảo khung trất,",洒掃穹窒、
Ngã chinh duật chí.,我征聿至。
"Hữu đôi qua khổ,",有敦瓜苦、
Chưng tại lật tân.,烝在栗薪。
"Tự ngã bất kiến,",自我不見、
Vu kim tam niên.,于今三年。
"Ngã tồ Đông Sơn,",我徂東山、
Thao thao bất quy.,慆慆不歸。
"Ngã lai tự đông,",我來自東、
Linh vũ kỳ mông.,零雨其濛。
"Thương canh vu phi,",倉庚于飛、
Dực diệu kỳ vũ.,熠燿其羽。
"Chi tử vu quy,",之子于歸、
Hoàng bác kỳ mã.,皇駁其馬。
"Thân kết kỳ ly,",親結其縭、
Cửu thập kỳ nghi.,九十其儀。
"Kỳ tân khổng gia,",其新孔嘉、
Kỳ cựu như chi hà?,其舊如之何。
Dương chi thuỷ.,揚之水，
Bạch thạch tác tác.,白石鑿鑿。
"Tố ý chu bác,",素衣朱襮，
Tùng tử vu Ác.,從子于沃。
"Ký kiến quân tử,",既見君子，
Vân hà bất lạc?,云何不樂？
"Dương chi thuỷ,",揚之水，
Bất lưu thúc sở.,不流束楚。
"Chung tiển huynh đệ,",終鮮兄弟，
"Duy dư dữ nhữ,",維予與女。
Vô tín nhân chi ngôn.,無信人之言，
Nhân thực cuống nhữ.,人實誑女。
"Dương chi thuỷ,",揚之水，
Bất lưu thúc tân.,不流束薪。
"Bỉ ký chi tử,",彼其之子，
Bất dữ ngã thú Thân,不與我戍申。
"Hoài tai, hoài tai!",懷哉、懷哉，
Hạt nguyệt dư hoàn quy tai?,曷月予還歸哉？
"Dương chi thuỷ,",揚之水，
Bất lưu thúc tân.,不流束薪。
"Chung tiển huynh đệ,",終鮮兄弟，
"Duy dư nhị nhân,",維予二人。
Vô tín nhân chi ngôn.,無信人之言，
Nhân thực bất tân.,人實不信。
"Dương chi thuỷ,",揚之水，
Bạch thạch hào hào.,白石皓皓。
"Tố ý chu tiêu,",素衣朱繡，
Tùng tử vu Cao.,從子于鵠。
"Ký kiến quân tử,",既見君子，
Vân hà kỳ yêu?,云何其憂？
"Dương chi thuỷ,",揚之水，
Bất lưu thúc sở.,不流束楚。
"Bỉ ký chi tử,",彼其之子，
Bất dữ ngã thú Phủ.,不與我戍甫。
"Hoài tai, hoài tai!",懷哉、懷哉，
Hạt nguyệt dư hoàn quy tai?,曷月予還歸哉？
"Dương chi thuỷ,",揚之水，
Bạch thạch lân lân.,白石粼粼。
Ngã văn hữu mịnh.,我聞有命，
Bất cảm dĩ cáo nhân.,不敢以告人。
"Dương chi thuỷ,",揚之水，
Bất lưu thúc bồ.,不流束蒲。
"Bỉ ký chi tử,",彼其之子，
Bất dữ ngã thú Hử.,不與我戍許。
"Hoài tai, hoài tai!",懷哉、懷哉，
Hạt nguyệt dư hoàn quy tai?,曷月予還歸哉？
"Duy thanh tập hy,",維清緝熙，
Văn vương chi điển.,文王之典。
"Triệu nhân,",肇禋。
Hất dụng hữu thành.,迄用有成，
Duy Chu chi trinh.,維周之禎。
"Duy thiên chi mệnh,",維天之命，
Ô mục bất dĩ.,於穆不已。
"Ô hô bất hiển,",於乎不顯，
Văn Vương chi đức chi thuần?,文王之德之純。
Hà dĩ dật ngã?,假以溢我，
Ngã kỳ thu chi.,我其收之。
"Tuấn huệ ngã Văn Vương,",駿惠我文王，
Tằng tôn đốc chi.,曾孫篤之。
"Gia lạc quân tử,",假樂君子，
Hiển hiển lệnh đức.,顯顯令德。
"Nghi dân nghi nhân,",宜民宜人，
Thụ lộc vu thiên.,受祿于天。
"Bảo hựu mệnh chi,",保右命之，
Tự thiên thân chi.,自天申之。
"Can lộc bách phúc,",干祿百福，
Tử tôn thiên ức.,子孫千億。
"Mục mục hoàng hoàng,",穆穆皇皇，
Nghi quân nghi vương.,宜君宜王。
"Bất khiên bất vong,",不愆不忘，
Suất do cựu chương.,率由舊章。
"Uy nghi ức ức,",威儀抑抑，
Đức âm trật trật.,德音秩秩。
"Vô oán vô ố,",無怨無惡，
Suất do quần thất.,率由群匹。
"Thụ phúc vô cương,",受福無疆，
Tứ phương chi cương.,四方之綱。
"Chi cương chi kỷ,",之綱之紀，
Yến cập bằng hữu.,燕及朋友。
"Bách phích khanh sĩ,",百辟卿士，
Mị vu thiên tử.,媚于天子。
"Bất giải vu vị,",不解于位，
Dân chi du ký.,民之攸墍。
"Giang Hán phù phù,",江漢浮浮，
Vũ phu thao thao.,武夫滔滔。
"Phỉ an phỉ du,",匪安匪遊，
Hoài di lai cầu.,淮夷來求。
"Ký xuất ngã xa,",既出我車，
"Ký thiết ngã dư,",既設我旟，
"Phỉ an phỉ thư,",匪安匪舒，
Hoài di lai phô.,淮夷來鋪。
"Giang Hán sương sương,",江漢湯湯，
Vũ phu quang quang.,武夫洸洸。
"Kinh doanh tứ phương,",經營四方，
Cáo thành vu vương.,告成于王。
"Tứ phương ký bình,",四方既平，
Vương quốc thứ định.,王國庶定。
"Thời mỹ hữu tranh,",時靡有爭，
Vương tâm tái ninh.,王心載寧。
"Giang Hán chi hử,",江漢之滸，
"Vương mệnh Thiệu Hổ,",王命召虎，
"Thức tịch tứ phương,",式辟四方，
Triệt ngã cương thổ.,徹我疆土。
"Phỉ cứu phỉ cức,",匪疚匪棘，
Vương quốc lai cực.,王國來極。
"Vu cương vu lý,",于疆于理，
Chí vu nam hải.,至于南海。
"Vương mệnh Thiệu Hổ,",王命召虎，
Lai tuần lai tuyên;,來旬來宣；
"Văn Vũ thụ mệnh,",文武受命，
Thiệu Công duy hàn.,召公維翰。
"Vô viết: dư tiểu tử,",無曰：予小子，
Thiệu Công thị tự.,召公是似。
"Triệu mẫn nhung công,",肇敏戎公，
Dụng tích nhĩ chỉ.,用錫爾祉。
"Li nhĩ khuê toản,",厘爾圭瓚，
"Cự sưởng nhất dữu,",秬鬯一卣。
"Cáo vu văn nhân,",告于文人，
Tích sơn thổ điền.,錫山土田。
"Vu Chu thụ mệnh,",于週受命，
Tự Thiệu tổ mệnh.,自召祖命。
"Hổ bái khể thủ,",虎拜稽首，
Thiên tử vạn niên.,天子萬年。
"Hổ bái khể thủ,",虎拜稽首，
Đối dương vương hưu.,對揚王休。
"Tác Thiệu công khảo,",作召公考，
Thiên tử vạn thọ.,天子萬壽。
"Minh minh thiên tử,",明明天子，
Lệnh vấn bất dĩ;,令聞不已；
"Thỉ kỳ văn đức,",矢其文德，
Hiệp thử tứ quốc.,洽此四國。
"Giang hữu tĩ,",江有汜，
Chi tử quy.,之子歸，
"Bất ngã dĩ,",不我以。
"Bất ngã dĩ,",不我以。
Kỳ hậu dã hối.,其後也悔。
"Giang hữu chử,",江有渚，
Chi tử quy.,之子歸，
Bất ngã dữ,不我與。
Bất ngã dữ,不我與，
Kỳ hậu dã xử.,其後也處。
"Giang hữu Đà,",江有沱，
Chi tử quy.,之子歸，
Bất ngã qua,不我過。
Bất ngã qua,不我過，
Kỳ tiêu dã ca.,其嘯也歌
"Giản hề, giản hề!",簡兮、簡兮，
Phương tương vạn vũ.,方將萬舞。
"Nhật chi phương trung,",日之方中，
Tại tiền thượng xứ.,在前上處。
"Thạc nhân ngữ ngữ,",碩人俁俁，
Công đình vạn vũ.,公庭萬舞。
"Hữu lực như hổ,",有力如虎，
Chấp bí như tổ.,執轡如組。
"Tả thủ chấp dược,",左手執龠，
"Hữu thủ chấp trạc,",右手秉翟。
Hách như ốc trước.,赫如渥赭，
Công ngôn tứ tước.,公言「錫爵」。
"Sơn hữu trăn,",山有榛，
Thấp hữu linh.,隰有苓。
Vân thuỳ chi tư?,云誰之思？
Tây phương mỹ nhân.,西方美人。
Bỉ mỹ nhân hề!,彼美人兮，
Tây phương chi nhân hề!,西方之人兮。
Bỉ giảo đồng hề!,彼狡童兮，
Bất dữ ngã nghiêng (ngôn) hề!,不與我言兮。
"Duy tử chi cố,",維子之故，
Sử ngã bất năng xuyên (xan) hề!,使我不能餐兮。
Bỉ giảo đồng hề!,彼狡童兮，
Bất dữ ngã thực hề!,不與我食兮。
"Duy tử chi cố,",維子之故，
Sử ngã bất năng tức hề!,使我不能息兮。
Hà bỉ nùng hĩ?,何彼襛矣？
Đường đệ chi hoa.,唐棣之華。
Hạt bất túc ung?,曷不肅雝？
Vương Cơ chi xa.,王姬之車。
Hà bỉ nùng hĩ?,何彼襛矣？
Hoa như đào lý.,華如桃李。
"Bình vương chi tôn,",平王之孫，
Tề hầu chi tỉ.,齊侯之子。
Kỳ điếu duy hà?,其釣維何？
Duy ty y dân.,維絲伊緡。
"Tề Hầu chi tử,",齊侯之子，
Bình Vương chi tuân.,平王之孫。
"Dịch dịch Lương Sơn,",奕奕梁山，
"Duy Vũ điện chi,",維禹甸之，
Hữu trác kỳ đạo.,有倬其道。
"Hàn Hầu thụ mệnh,",韓侯受命，
Vương thân mệnh chi:,王親命之：
Toản nhung tổ khảo.,纘戎祖考。
"Vô phế trẫm mệnh,",無廢朕命，
"Túc dạ phỉ giải,",夙夜匪解，
Kiền cung nhĩ vị.,虔共爾位。
"Trẫm mệnh bất dịch,",朕命不易，
"Cán bất đình phương,",幹不庭方，
Dĩ tá nhung tịch.,以佐戎闢。
"Tứ mẫu dịch dịch,",四牡奕奕，
"Khổng tu thả trương,",孔修且張，
"Hàn hầu nhập cận,",韓侯入覲，
"Dĩ kỳ giới khuê,",以其介圭，
Nhập cận vu vương.,入覲于王。
Vương tích Hàn Hầu:,王錫韓侯：
"Thục kỳ nhuy chương,",淑旗綏章，
"Điệm phất thác hành,",簟茀錯衡，
"Huyền cổn xích tích,",玄袞赤舄，
"Câu ưng lũ sam,",鉤膺鏤釤，
"Khoách hoành thiển miệt,",鞹鞃淺幭，
Điều cách kim ách.,鞗革金厄。
"Hàn hầu xuất tổ,",韓侯出祖，
Xuất túc vu Đồ.,出宿于屠。
"Hiển phụ tiễn chi,",顯父餞之，
Thanh tửu bách hồ.,清酒百壺。
Kỳ hào duy hà?,其殽維何？
Bào miết tiển ngư.,炰鱉鮮魚。
Kỳ tốc duy hà?,其蔌維何？
Duy tuân cập bồ.,維筍及蒲。
Kỳ tặng duy hà?,其贈維何？
Thặng mã lộ xa.,乘馬路車。
"Biên đậu hữu thả,",籩豆有且，
Hầu thị yến tư.,侯氏燕胥。
"Hàn hầu thủ thê,",韓侯取妻，
"Phần vương chi sinh,",汾王之甥，
Quyết phủ chi tử.,蹶父之子。
"Hàn hầu nghinh chỉ,",韓侯迎止，
Vu Quyết chi lý.,于蹶之里。
"Bách lưỡng bàng bàng,",百兩彭彭，
"Bát loan thương thương,",八鸞鏘鏘，
Bất hiển kỳ quang?,不顯其光。
"Chư đễ tòng chi,",諸娣從之，
Kì kì như vân.,祁祁如雲。
"Hàn hầu cố chi,",韓侯顧之，
Lạn kỳ doanh môn.,爛其盈門。
"Quyết phủ khổng vũ,",蹶父孔武，
Mỹ quốc bất đáo.,靡國不到。
"Vi Hàn Cật tướng du,",為韓姞相攸，
"Mạc như Hàn lạc,",莫如韓樂。
Khổng lạc Hàn thổ.,孔樂韓土，
"Xuyên trạch hủ hủ,",川澤訏訏，
"Phường tự phủ phủ,",魴鱮甫甫，
"Ưu lộc ngu ngu,",麀鹿噳噳，
"Hữu hùng hữu ky,",有熊有羈，
Hữu miêu hữu hổ.,有貓有虎。
"Khánh ký lệnh cư,",慶既令居，
Hàn Cật yến dự.,韓姞燕譽。
Phổ bỉ Hàn thành!,溥彼韓城，
Yên sư sở hoàn.,燕師所完。
"Dĩ tiên tổ thụ mệnh,",以先祖受命，
Nhân thì bách man.,因時百蠻。
"Vương tích Hàn Hầu,",王錫韓侯，
Kỳ Truy kỳ Mạch.,其追其貊，
"Yêm thụ bắc quốc,",奄受北國，
Nhân dĩ kỳ bá.,因以其伯。
"Thực dung thực hác,",實墉實壑，
Thực mẫu thực tịch.,實畝實籍。
"Hiến kỳ tỳ bì,",獻其貔皮，
Xích báo hoàng ki.,赤豹黃羈。
Yếm ấp hành lộ.,厭浥行露。
"Khỉ bất túc dạ,",豈不夙夜，
Vị hành đa lộ.,謂行多露。
Thuỳ vị tước vô lốc?,誰謂雀無角？
Hà dĩ xuyên ngã ốc?,何以穿我屋？
Thuỳ vị nhữ vô cốc?,誰謂女無家？
Hà dĩ tốc ngã ngục?,何以速我獄？
"Tuy tốc ngã ngục,",雖速我獄，
Thất gia bất túc.,室家不足。
Thuỳ vị thử vô ngông?,誰謂鼠無牙？
Hà dĩ xuyên ngã dung?,何以穿我墉？
Thuỳ vị nhữ vô công?,誰謂女無家？
Hà dĩ tốc ngã tùng?,何以速我訟？
"Tuy tốc ngã tụng,",雖速我訟，
Diệc bất nhữ tùng.,亦不女從。
"Đôn bỉ hành vĩ,",敦彼行葦，
Ngưu dương vật tiễn lý.,牛羊勿踐履。
"Phương bao phương thể,",方苞方體，
Duy diệp nễ nễ.,維葉泥泥。
"Thích thích huynh đệ,",戚戚兄弟，
"Mạc viễn cụ nhĩ,",莫遠具爾。
"Hoặc tứ chi diên,",或肆之筵，
Hoặc thụ chi kỉ.,或授之几。
"Tứ diên thiết tịch,",肆筵設席，
Thụ kỉ hữu tập ngự.,授几有緝御。
"Hoặc hiến hoặc tạc,",或献或酢，
Tẩy tước điện giả.,洗爵奠斝。
"Thảm hải dĩ tiến,",醓醢以薦，
Hoặc phiền hoặc chích.,或燔或炙。
"Gia hào tỳ cược,",嘉殽脾臄，
Hoặc ca hoặc ngạc.,或歌或咢。
"Điêu cung ký kiên,",敦弓既堅，
"Tứ hầu ký quân,",四鍭既鈞，
"Xả thỉ ký quân,",舍矢既均，
Tự tân dĩ hiền.,序賓以賢。
"Điêu cung ký cấu,",敦弓既句，
Ký tiệp tứ hầu.,既挾四鍭。
"Tứ hầu như thụ,",四鍭如樹，
Tự tân dĩ bất vũ.,序賓以不侮。
"Tằng tôn duy chủ,",曾孫維主，
"Tửu lễ duy nhủ,",酒醴維醹，
"Chước dĩ đại đẩu,",酌以大斗，
Dĩ kỳ hoàng cẩu.,以祈黄耇。
"Hoàng cẩu thai bối,",黄耇台背，
Dĩ dẫn dĩ dực.,以引以翼。
"Thọ khảo duy kỳ,",壽考維祺，
Dĩ giới cảnh phúc.,以介景福。
"Chiêm bỉ Hạn lộc,",瞻彼旱麓，
Trăn hộ tể tể.,榛楛濟濟。
"Khải đễ quân tử,",豈弟君子，
Can lộc khải đễ.,干祿豈弟
"Sắt bỉ ngọc toản,",瑟彼玉瓚，
Hoàng lưu tại trung.,黃流在中。
"Khải đễ quân tử,",豈弟君子，
Phúc lộc du giáng.,福祿攸降。
"Diên phi lệ thiên,",鳶飛戾天，
Ngư dược vu uyên.,魚躍于淵。
"Khải đễ quân tử,",豈弟君子，
Hà bất tác nhân?,遐不作人？
"Thanh tửu ký tái,",清酒既載，
Tinh mẫu ký bị.,騂牡既備。
"Dĩ hưởng dĩ tự,",以享以祀，
Dĩ giới cảnh phúc.,以介景福。
"Sắt bỉ tạc vực,",瑟彼柞棫，
Dân sở liệu hĩ.,民所燎矣。
"Khải đễ quân tử,",豈弟君子，
Thần sở lạo hĩ.,神所勞矣。
"Mạch mạch cát luỹ,",莫莫葛藟，
Dị vu điều mai.,施于條枚。
"Khải đễ quân tử,",豈弟君子，
Cầu phúc bất hồi.,求福不回。
"Nam hữu kiều mộc,",南有喬木、
Bất khả hưu tức.,不可休息。
"Hán hữu du nữ,",漢有遊女、
Bất khả cầu ti.,不可求思。
Hán chi quảng hĩ!,漢之廣矣、
Bất khả vuống ti.,不可泳思。
Giang chi dượng hĩ!,江之永矣、
Bất khả phỏng ti.,不可方思。
"Kiều kiều thác tân,",翹翹錯薪、
Ngôn ngải kỳ sở.,言刈其楚。
"Chi tử vu quy,",之子于歸、
Ngôn mạt kỳ mã.,言秣其馬。
Hán chi quảng hĩ!,漢之廣矣、
Bất khả vuống ti.,不可泳思。
Giang chi dượng hĩ!,江之永矣、
Bất khả phỏng ti.,不可方思。
"Kiều kiều thác tân,",翹翹錯薪、
Ngôn ngải kỳ lâu.,言刈其蔞。
"Chi tử vu quy,",之子于歸、
Ngôn mạt kỳ câu.,言秣其駒。
Hán chi quảng hĩ!,漢之廣矣、
Bất khả vuống ti.,不可泳思。
Giang chi dượng hĩ!,江之永矣、
Bất khả phỏng ti.,不可方思。
"Hạo thiên hữu thành mệnh,",昊天有成命，
Nhị hậu thụ chi.,二后受之。
"Thành Vương bất cảm khang,",成王不敢康，
Túc dạ cơ mệnh hựu mật.,夙夜基命宥密。
Ô tập hy!,於緝熙！
Đan quyết tâm.,單厥心。
Tứ kỳ tĩnh chi.,肆其靖之。
Thuỳ vị Hà quảng?,誰謂河廣？
Nhất vĩ hàng chi.,一葦杭之。
Thuỳ vị Tống viễn?,誰謂宋遠？
Xí dư vọng chi.,跂予望之。
Thuỳ vị Hà quảng?,誰謂河廣？
Tằng bất dung đao.,曾不容刀，
Thuỳ vị Tống viễn?,誰謂宋遠？
Tằng bất sùng triêu.,曾不崇朝。
"Liệt bỉ hạ tuyền,",冽彼下泉，
Tẩm bỉ bao lang.,浸彼苞稂。
"Khải ngã ngộ than,",愾我寤嘆，
Niệm bỉ Chu cương.,念彼周京。
"Liệt bỉ hạ tuyền,",冽彼下泉，
Tẩm bỉ bao sưu.,浸彼苞蕭。
"Khải ngã ngộ thán,",愾我寤嘆，
Niệm bỉ kinh Chu.,念彼京周。
"Liệt bỉ hạ tuyền,",冽彼下泉，
Tẩm bỉ bao thi.,浸彼苞蓍。
"Khải ngã ngộ thán,",愾我寤嘆，
Niệm bỉ kinh si.,念彼京師。
"Bồng bồng thử miêu,",芃芃黍苗，
Âm vũ cáo chi.,陰雨膏之。
"Tứ quốc hữu vương,",四國有王，
Tuân Bá lạo chi.,郇伯勞之。
Bỉ hậu nhân hề!,彼候人兮，
Há qua dữ đuất.,何戈與祋。
"Bỉ ký chi tử,",彼其之子，
Tam bách xích phất.,三百赤芾。
"Duy đề tại lương,",維鵜在梁，
Bất nhu kỳ dực?,不濡其翼。
"Bỉ ký chi tử,",彼其之子，
Bất xứng kỳ bặc.,不稱其服。
"Duy đề tại lương,",維鵜在梁，
Bất nhu kỳ trú?,不濡其咮。
"Bỉ ký chi tử,",彼其之子，
Bất toại kỳ cấu.,不遂其媾。
Uế hề uý hề!,薈兮蔚兮，
Nam sơn triều tế.,南山朝隮。
UYển hề luyến hề!,婉兮孌兮，
Quý nữ tư cơ.,季女斯饑。
"Hạ Vũ duy Chu,",下武維周，
Thế hữu triết vương.,世有哲王。
"Tam hậu tại thiên,",三后在天，
Vương phối vu kinh.,王配于京。
"Vương phối vu kinh,",王配于京，
Thế đức tác cầu.,世德作求。
"Vĩnh ngôn phối mệnh,",永言配命，
Thành vương chi phu.,成王之孚。
"Thành vương chi phu,",成王之孚，
Hạ thổ chi thức.,下土之式。
"Vĩnh ngôn hiếu tư,",永言孝思，
Hiếu tư duy tắc.,孝思維則。
"My tư nhất nhân,",媚茲一人，
Ứng hầu thuận đức.,應侯順德。
"Vĩnh ngôn hiếu tư,",永言孝思，
Chiêu tai tự phục.,昭哉嗣服。
"Chiêu tư lai hử,",昭茲来許，
Thằng kỳ tổ vũ.,繩其祖武。
"Ư vạn tư niên,",於萬斯年，
Thụ thiên chi hộ.,受天之祜。
"Thụ thiên chi hỗ,",受天之祜，
Tứ phương lai hạ.,四方来賀。
"Ư vạn tư niên,",於萬斯年，
Bất hà hữu tá.,不遐有佐。
"Tuy vạn bang,",綏萬邦，
Lũ phong niên.,屢豐年。
"Thiên mệnh phỉ giải,",天命匪解，
Hoàn hoàn Vũ Vương.,桓桓武王。
"Bảo hữu quyết sĩ,",保有厥士，
"Vu dĩ tứ phương,",于以四方，
Khắc định quyết gia.,剋定厥家。
"Ô chiêu vu thiên,",於昭于天，
Hoàng dĩ gián chi.,皇以間之。
"Giao giao hoàng điểu,",交交黃鳥，
"Chỉ vu cức,",止于棘。
Thuỳ tùng Mục Công?,誰從穆公？
Tử xa Yêm Tức.,子車奄息。
"Duy thử Yêm Tức,",維此奄息，
Bách phu chi đặc.,百夫之特。
"Lâm kỳ huật,",臨其穴，
Chuy chuy kỳ lật,惴惴其栗。
"Bỉ thương giả hân,",彼蒼者天，
Tiêm ngã lương nhân.,殲我良人。
Như khả thục hề!,如可贖兮，
Nhân bách kỳ thân.,人百其身。
"Giao giao hoàng điểu,",交交黃鳥，
"Chỉ vu tang,",止于桑。
Thuỳ tùng Mục Công?,誰從穆公？
Tử xa Trọng Hàng.,子車仲行。
"Duy thử Trọng Hàng,",維此仲行，
Bách phu chi phòng.,百夫之防。
"Lâm kỳ huật,",臨其穴，
Chuy chuy kỳ lật,惴惴其栗。
"Bỉ thương giả hân,",彼蒼者天，
Tiêm ngã lương nhân.,殲我良人。
Như khả thục hề!,如可贖兮，
Nhân bách kỳ thân.,人百其身。
"Giao giao hoàng điểu,",交交黃鳥，
"Chỉ vu sở,",止于楚。
Thuỳ tùng Mục Công?,誰從穆公？
Tử Xa Kiềm Hổ.,子車鍼虎。
"Duy thử Kiềm Hổ,",維此鍼虎，
Bách phu chi ngự.,百夫之禦。
"Lâm kỳ huật,",臨其穴，
Chuy chuy kỳ lật,惴惴其栗。
"Bỉ thương giả hân,",彼蒼者天，
Tiêm ngã lương nhân.,殲我良人。
Như khả thục hề!,如可贖兮，
Nhân bách kỳ thân.,人百其身。
"Hoàng hĩ thượng đế,",皇矣上帝，
Lâm hạ hữu hách.,臨下有赫。
"Giám quan tứ phương,",監觀四方，
Cầu dân chi mạc.,求民之莫。
